Artist,Track,Genre,Source_License,Language,Include,FullName,Has_Lyrics
`3`,The rest of the accompaniment,"
- `4` - The vocals.

For each file", the mixture correspond to the sum of all the signals. All signals are stereophonic and encoded at 44.1kHz.,,,`3` - The rest of the accompaniment,no
A Classic Education,NightOwl,Singer/Songwriter,MedleyDB,,,A Classic Education - NightOwl,yes
Actions,Devil's Words,Pop/Rock,DSD,,,Actions - Devil's Words,yes
Actions,One Minute Smile,Pop/Rock,DSD,,,Actions - One Minute Smile,yes
Actions,South Of The Water,Pop/Rock,DSD,,,Actions - South Of The Water,yes
Aimee Norwich,Child,Singer/Songwriter,MedleyDB,,,Aimee Norwich - Child,yes
Al James,Schoolboy Facination,Pop/Rock,DSD,,,Al James - Schoolboy Facination,yes
Alexander Ross,Goodbye Bolero,Singer/Songwriter,MedleyDB,,,Alexander Ross - Goodbye Bolero,yes
Alexander Ross,Velvet Curtain,Singer/Songwriter,MedleyDB,,,Alexander Ross - Velvet Curtain,yes
AM Contra,Heart Peripheral,Pop/Rock,DSD,,,AM Contra - Heart Peripheral,yes
Angela Thomas Wade,Milk Cow Blues,Country,DSD,,,Angela Thomas Wade - Milk Cow Blues,yes
ANiMAL,Clinic A,Rap,DSD,,,ANiMAL - Clinic A,yes
ANiMAL,Easy Tiger,Rap,DSD,,,ANiMAL - Easy Tiger,yes
ANiMAL,Rockshow,Rap,DSD,,,ANiMAL - Rockshow,yes
Arise,Run Run Run,Reggae,DSD,,,Arise - Run Run Run,no
Atlantis Bound,It Was My Fault For Waiting,Pop/Rock,DSD,,,Atlantis Bound - It Was My Fault For Waiting,yes
Auctioneer,Our Future Faces,Singer/Songwriter,MedleyDB,,,Auctioneer - Our Future Faces,yes
AvaLuna,Waterduct,Rock,MedleyDB,,,AvaLuna - Waterduct,yes
Ben Carrigan,We'll Talk About It All Tonight,Pop/Rock,DSD,,,Ben Carrigan - We'll Talk About It All Tonight,yes
BigTroubles,Phantom,Rock,MedleyDB,,,BigTroubles - Phantom,yes
Bill Chudziak,Children Of No-one,Pop/Rock,DSD,,,Bill Chudziak - Children Of No-one,yes
BKS,Bulldozer,Pop/Rock,DSD,,,BKS - Bulldozer,yes
BKS,Too Much,Pop/Rock,DSD,,,BKS - Too Much,yes
Black Bloc,If You Want Success,Pop/Rock,DSD,,,Black Bloc - If You Want Success,yes
Bobby Nobody,Stitch Up,Pop/Rock,DSD,,,Bobby Nobody - Stitch Up,yes
Buitraker,Revo X,Pop/Rock,DSD,,,Buitraker - Revo X,no
Carlos Gonzalez,A Place For Us,Pop/Rock,DSD,,,Carlos Gonzalez - A Place For Us,yes
Celestial Shore,Die For Us,Singer/Songwriter,MedleyDB,,,Celestial Shore - Die For Us,yes
Chris Durban,Celebrate,Electronic,DSD,,,Chris Durban - Celebrate,yes
Clara Berry And Wooldog,Air Traffic,Singer/Songwriter,MedleyDB,,,Clara Berry And Wooldog - Air Traffic,yes
Clara Berry And Wooldog,Stella,Singer/Songwriter,MedleyDB,,,Clara Berry And Wooldog - Stella,yes
Clara Berry And Wooldog,Waltz For My Victims,Singer/Songwriter,MedleyDB,,,Clara Berry And Wooldog - Waltz For My Victims,yes
Cnoc An Tursa,Bannockburn,Heavy Metal,DSD,,,Cnoc An Tursa - Bannockburn,yes
Creepoid,OldTree,Rock,MedleyDB,,,Creepoid - OldTree,yes
Cristina Vane,So Easy,Pop/Rock,DSD,,,Cristina Vane - So Easy,yes
Dark Ride,Burning Bridges,Heavy Metal,DSD,,,Dark Ride - Burning Bridges,yes
Detsky Sad,Walkie Talkie,Pop/Rock,DSD,,,Detsky Sad - Walkie Talkie,no
Dreamers Of The Ghetto,Heavy Love,Pop,MedleyDB,,,Dreamers Of The Ghetto - Heavy Love,yes
Drumtracks,Ghost Bitch,Pop/Rock,DSD,,,Drumtracks - Ghost Bitch,yes
Enda Reilly,Cur An Long Ag Seol,Pop/Rock,DSD,,,Enda Reilly - Cur An Long Ag Seol,no
Faces On Film,Waiting For Ga,Singer/Songwriter,MedleyDB,,,Faces On Film - Waiting For Ga,yes
Fergessen,Back From The Start,Pop/Rock,DSD,,,Fergessen - Back From The Start,yes
Fergessen,Nos Palpitants,Pop/Rock,DSD,,,Fergessen - Nos Palpitants,no
Fergessen,The Wind,Pop/Rock,DSD,,,Fergessen - The Wind,yes
Flags,54,Pop/Rock,DSD,,,Flags - 54,yes
Forkupines,Semantics,Pop/Rock,DSD,,,Forkupines - Semantics,yes
Georgia Wonder,Siren,Pop/Rock,DSD,,,Georgia Wonder - Siren,yes
Girls Under Glass,We Feel Alright,Electronic,DSD,,,Girls Under Glass - We Feel Alright,yes
Giselle,Moss,Electronic,DSD,,,Giselle - Moss,yes
Grants,PunchDrunk,Rap,MedleyDB,,,Grants - PunchDrunk,yes
Helado Negro,Mitad Del Mundo,Pop,MedleyDB,,,Helado Negro - Mitad Del Mundo,no
Hezekiah Jones,Borrowed Heart,Singer/Songwriter,MedleyDB,,,Hezekiah Jones - Borrowed Heart,yes
Hollow Ground,Ill Fate,Heavy Metal,DSD,,,Hollow Ground - Ill Fate,yes
Hollow Ground,Left Blind,Heavy Metal,DSD,,,Hollow Ground - Left Blind,yes
Hop Along,Sister Cities,Rock,MedleyDB,,,Hop Along - Sister Cities,yes
Invisible Familiars,Disturbing Wildlife,Singer/Songwriter,MedleyDB,,,Invisible Familiars - Disturbing Wildlife,yes
James Elder & Mark M Thompson,The English Actor,Heavy Metal,DSD,,,James Elder & Mark M Thompson - The English Actor,yes
James May,All Souls Moon,Pop/Rock,DSD,,,James May - All Souls Moon,yes
James May,Dont Let Go,Pop/Rock,DSD,,,James May - Dont Let Go,yes
James May,If You Say,Pop/Rock,DSD,,,James May - If You Say,yes
James May,On The Line,Pop/Rock,DSD,,,James May - On The Line,yes
Jay Menon,Through My Eyes,Pop/Rock,DSD,,,Jay Menon - Through My Eyes,yes
Johnny Lokke,Promises & Lies,Pop/Rock,DSD,,,Johnny Lokke - Promises & Lies,yes
Johnny Lokke,Whisper To A Scream,Pop/Rock,DSD,,,Johnny Lokke - Whisper To A Scream,yes
Jokers Jacks & Kings,Sea Of Leaves,Pop/Rock,DSD,,,Jokers Jacks & Kings - Sea Of Leaves,no
Juliet's Rescue,Heartbeats,Pop/Rock,DSD,,,Juliet's Rescue - Heartbeats,yes
Leaf,Come Around,Pop/Rock,DSD,,,Leaf - Come Around,yes
Leaf,Summerghost,Pop/Rock,DSD,,,Leaf - Summerghost,yes
Leaf,Wicked,Pop/Rock,DSD,,,Leaf - Wicked,yes
Little Chicago's Finest,My Own,Rap,DSD,,,Little Chicago's Finest - My Own,yes
Louis Cressy Band,Good Time,Pop/Rock,DSD,,,Louis Cressy Band - Good Time,yes
Lushlife,Toynbee Suite,Rap,MedleyDB,,,Lushlife - Toynbee Suite,yes
Lyndsey Ollard,Catching Up,Pop/Rock,DSD,,,Lyndsey Ollard - Catching Up,yes
M.E.R.C. Music,Knockout,Rap,DSD,,,M.E.R.C. Music - Knockout,yes
Matthew Entwistle,Dont You Ever,Jazz,MedleyDB,,,Matthew Entwistle - Dont You Ever,yes
Meaxic,Take A Step,Rock,MedleyDB,,,Meaxic - Take A Step,no
Meaxic,You Listen,Rock,MedleyDB,,,Meaxic - You Listen,yes
Moosmusic,Big Dummy Shake,Pop/Rock,DSD,,,Moosmusic - Big Dummy Shake,yes
Motor Tapes,Shore,Pop/Rock,DSD,,,Motor Tapes - Shore,yes
Mu,Too Bright,Pop/Rock,DSD,,,Mu - Too Bright,yes
Music Delta,80s Rock,Rock,MedleyDB,,,Music Delta - 80s Rock,yes
Music Delta,Beatles,Singer/Songwriter,MedleyDB,,,Music Delta - Beatles,yes
Music Delta,Britpop,Pop,MedleyDB,,,Music Delta - Britpop,yes
Music Delta,Country1,Country,MedleyDB,,,Music Delta - Country1,yes
Music Delta,Country2,Country,MedleyDB,,,Music Delta - Country2,yes
Music Delta,Disco,Pop,MedleyDB,,,Music Delta - Disco,yes
Music Delta,Gospel,Pop,MedleyDB,,,Music Delta - Gospel,yes
Music Delta,Grunge,Rock,MedleyDB,,,Music Delta - Grunge,yes
Music Delta,Hendrix,Rock,MedleyDB,,,Music Delta - Hendrix,yes
Music Delta,Punk,Rock,MedleyDB,,,Music Delta - Punk,yes
Music Delta,Reggae,Rock,MedleyDB,,,Music Delta - Reggae,yes
Music Delta,Rock,Rock,MedleyDB,,,Music Delta - Rock,yes
Music Delta,Rockabilly,Rock,MedleyDB,,,Music Delta - Rockabilly,yes
Nerve 9,Pray For The Rain,Pop/Rock,DSD,,,Nerve 9 - Pray For The Rain,yes
Night Panther,Fire,Pop,MedleyDB,,,Night Panther - Fire,yes
North To Alaska,All The Same,Pop/Rock,DSD,,,North To Alaska - All The Same,yes
Patrick Talbot,A Reason To Leave,Jazz,DSD,,,Patrick Talbot - A Reason To Leave,yes
Patrick Talbot,Set Free Me,Jazz,DSD,,,Patrick Talbot - Set Free Me,no
Phre The Eon,Everybody's Falling Apart,Pop/Rock,DSD,,,Phre The Eon - Everybody's Falling Apart,yes
Port St Willow,Stay Even,Singer/Songwriter,MedleyDB,,,Port St Willow - Stay Even,yes
PR,Happy Daze,Electronic,Native Instruments,,,PR - Happy Daze,yes
PR,Oh No,Electronic,Native Instruments,,,PR - Oh No,yes
Punkdisco,Oral Hygiene,Pop/Rock,DSD,,,Punkdisco - Oral Hygiene,yes
Raft Monk,Tiring,Pop/Rock,DSD,,,Raft Monk - Tiring,yes
Remember December,C U Next Time,Pop/Rock,DSD,,,Remember December - C U Next Time,yes
Sambasevam Shanmugam,Kaathaadi,Pop/Rock,DSD,,,Sambasevam Shanmugam - Kaathaadi,no
Secret Mountains,High Horse,Pop,MedleyDB,,,Secret Mountains - High Horse,yes
Secretariat,Borderline,Pop/Rock,DSD,,,Secretariat - Borderline,yes
Secretariat,Over The Top,Pop/Rock,DSD,,,Secretariat - Over The Top,yes
Side Effects Project,Sing With Me,Rap,DSD,,,Side Effects Project - Sing With Me,yes
Signe Jakobsen,What Have You Done To Me,Pop/Rock,DSD,,,Signe Jakobsen - What Have You Done To Me,yes
Skelpolu,Human Mistakes,Electronic,DSD,,,Skelpolu - Human Mistakes,yes
Skelpolu,Resurrection,Electronic,DSD,,,Skelpolu - Resurrection,yes
Skelpolu,Together Alone,Electronic,DSD,,,Skelpolu - Together Alone,yes
Snowmine,Curfews,Pop,MedleyDB,,,Snowmine - Curfews,yes
Speak Softly,Broken Man,Pop/Rock,DSD,,,Speak Softly - Broken Man,yes
Speak Softly,Like Horses,Pop/Rock,DSD,,,Speak Softly - Like Horses,yes
Spike Mullings,Mike's Sulking,Pop/Rock,DSD,,,Spike Mullings - Mike's Sulking,yes
Spike Mullings,Mike's Sulking,Rock,DSD,,,Spike Mullings - Mike's Sulking,yes
St Vitus,Word Gets Around,Pop/Rock,DSD,,,St Vitus - Word Gets Around,yes
Steven Clark,Bounty,Pop,MedleyDB,,,Steven Clark - Bounty,yes
Strand Of Oaks,Spacestation,Pop,MedleyDB,,,Strand Of Oaks - Spacestation,yes
Sweet Lights,You Let Me Down,Pop,MedleyDB,,,Sweet Lights - You Let Me Down,yes
Swinging Steaks,Lost My Way,Pop/Rock,DSD,,,Swinging Steaks - Lost My Way,yes
The Districts,Vermont,Rock,MedleyDB,,,The Districts - Vermont,yes
The Doppler Shift,Atrophy,Pop/Rock,DSD,,,The Doppler Shift - Atrophy,yes
The Easton Ellises,Falcon 69,Pop/Rock,C't Remix Comp.,,,The Easton Ellises - Falcon 69,yes
The Easton Ellises (Baumi),SDRNR,Pop/Rock,C't Remix Comp.,,,The Easton Ellises (Baumi) - SDRNR,yes
The Long Wait,Back Home To Blue,Pop/Rock,DSD,,,The Long Wait - Back Home To Blue,yes
The Long Wait,Dark Horses,Pop/Rock,DSD,,,The Long Wait - Dark Horses,yes
The Mountaineering Club,Mallory,Pop/Rock,DSD,,,The Mountaineering Club - Mallory,yes
The Scarlet Brand,Les Fleurs Du Mal,Rock,MedleyDB,,,The Scarlet Brand - Les Fleurs Du Mal,yes
The So So Glos,Emergency,Rock,MedleyDB,,,The So So Glos - Emergency,yes
The Sunshine Garcia Band,For I Am The Moon,Reggae,DSD,,,The Sunshine Garcia Band - For I Am The Moon,yes
The Wrong'Uns,Rothko,Pop/Rock,DSD,,,The Wrong'Uns - Rothko,yes
Tim Taler,Stalker,Pop/Rock,DSD,,,Tim Taler - Stalker,no
Timboz,Pony,Heavy Metal,DSD,,,Timboz - Pony,yes
Titanium,Haunted Age,Heavy Metal,DSD,,,Titanium - Haunted Age,yes
Tom McKenzie,Directions,Pop/Rock,DSD,,,Tom McKenzie - Directions,yes
Traffic Experiment,Once More (With Feeling),Pop/Rock,DSD,,,Traffic Experiment - Once More (With Feeling),yes
Traffic Experiment,Sirens,Pop/Rock,DSD,,,Traffic Experiment - Sirens,yes
Triviul,Angelsaint,Pop/Rock,DSD,,,Triviul - Angelsaint,yes
Triviul,Dorothy,Pop/Rock,DSD,,,Triviul - Dorothy,yes
Triviul feat. The Fiend,Widow,Pop/Rock,DSD,,,Triviul feat. The Fiend - Widow,yes
Voelund,Comfort Lives In Belief,Pop/Rock,DSD,,,Voelund - Comfort Lives In Belief,yes
Wall Of Death,Femme,Heavy Metal,DSD,,,Wall Of Death - Femme,yes
We Fell From The Sky,Not You,Heavy Metal,DSD,,,We Fell From The Sky - Not You,yes
Young Griffo,Blood To Bone,Heavy Metal,DSD,,,Young Griffo - Blood To Bone,yes
Young Griffo,Facade,Heavy Metal,DSD,,,Young Griffo - Facade,yes
Young Griffo,Pennies,Heavy Metal,DSD,,,Young Griffo - Pennies,yes
Zeno,Signs,Pop/Rock,DSD,,,Zeno - Signs,yes
